Relation;Object;Related Term
AtLocation;window_shutter;burglary_scene
CapableOf;window_shutter;obstructing_view
HasA;window_shutter;hidden_compartment
UsedFor;window_shutter;concealing_evidence
AtLocation;cargo_container;smuggling_operation
CapableOf;cargo_container;transporting_contraband
HasA;cargo_container;false_bottom
PartOf;cargo_container;human_trafficking_ring
UsedFor;cargo_container;stashing_illicit_goods
AtLocation;hard_drug;crime_laboratory
CapableOf;hard_drug;inducing_overdose
Causes;hard_drug;respiratory_failure
UsedFor;hard_drug;intoxication
AtLocation;security_document;evidence_room
HasA;security_document;encrypted_data
IsA;security_document;confidential_record
UsedFor;security_document;identity_theft
LocatedNear;tea_bag;poisoned_victim
UsedFor;tea_bag;administering_toxin
AtLocation;modem;hacking_lair
CapableOf;modem;data_exfiltration
UsedFor;modem;illicit_data_transmission
AtLocation;purse;crime_scene
HasA;purse;hidden_compartment
UsedFor;purse;concealing_evidence
AtLocation;passenger_aircraft;airport_crime_scene
CapableOf;passenger_aircraft;human_trafficking
UsedFor;passenger_aircraft;smuggling_operations
AtLocation;armored_vehicle;high_security_facility
CapableOf;armored_vehicle;withstanding_hostile_fire
IsA;armored_vehicle;tactical_response_vehicle
UsedFor;armored_vehicle;transporting_high_risk_prisoners
AtLocation;tape_measure;forensic_analysis_lab
UsedFor;tape_measure;reconstructing_crime_scenes
AtLocation;composition_explosive;bomb_factory
CapableOf;composition_explosive;inflicting_shrapnel_wounds
Causes;composition_explosive;blast_injuries
HasA;composition_explosive;detonator_component
HasProperty;composition_explosive;unstable_chemical_structure
IsA;composition_explosive;improvised_explosive_device
LocatedNear;composition_explosive;ignition_source
MadeOf;composition_explosive;ammonium_nitrate
PartOf;composition_explosive;terrorist_attack_kit
UsedFor;composition_explosive;mass_destruction
AtLocation;woodworking_tool;crime_scene_workshop
CapableOf;woodworking_tool;disguising_evidence
HasA;woodworking_tool;hidden_compartment_for_concealment
HasProperty;woodworking_tool;altered_serial_number
IsA;woodworking_tool;burglary_tool
